설치장소명,설치장소상세,설치시설구분,서비스제공사,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
인사동거리1,삼봉로 100 조계사앞 공평동 (카페7그램 앞 CCTV),기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 삼봉로 100,,서울특별시청,37.571935,126.982824
인사동거리1,인사동길 23 (경일문화가게 옆 CCTV),기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 인사동길 23-1,,서울특별시청,37.572919,126.9862
인사동거리1,인사동길 32 인사동 골목 (슈프림스 옆 CCTV기둥),기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 인사동길 32,,서울특별시청,37.573374,126.985741
청계천1,청계광장 U턴도로 앞 CCTV 기둥,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 1,,서울특별시청,37.569278,126.977492
청계천1,동아일보 앞 CCTV 기둥,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 1,,서울특별시청,37.569415,126.97795
청계천1,광통교(중구방향)웨스턴아이스바 CCTV기둥,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 35,,서울특별시청,37.569086,126.981201
청계천1,유림낙지앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 종로구 청계천로 17,,서울특별시청,37.569321,126.979425
청계천1,유림낙지앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 17,,서울특별시청,37.569323,126.979419
청계천1,웨스턴바 앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 61,,서울특별시청,37.568835,126.984353
청계천1,웨스턴바 앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 61,,서울특별시청,37.56884,126.984353
청계천1,피자헛 앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 73,,서울특별시청,37.568554,126.98585
청계천1,피자헛 앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 75,,서울특별시청,37.568546,126.985847
대학로2,혜화역 4번 출구 앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Jun,서울특별시 종로구 대명길 4,,서울특별시청,37.583685,127.001306
대학로2,혜화역 4번 출구 앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Jun,서울특별시 종로구 대명길 4,,서울특별시청,37.583685,127.001306
대학로2,마로니에공원 입구 방범CCTV,기타,LGU+,Seoul WiFi,17-Jun,서울특별시 종로구 대학로 104,,서울특별시청,37.57999,127.002355
